Experiment,time[h],VCD,Glc,Gln,Amm,Lac,reactor_temperature,pH,reactor_volume,disc_volume_feed,disc_Glc_feed_g,disc_Gln_feed_g,conti_volume_feed,conti_glucose_feed_g,conti_glutamine_feed_g,stirring_rate,inital_volume,total_run_time
2,0.0,0.294141399122759,48.80404497212802,3.995179442447607,0.1,0.1,37.076078776929954,6.92446869094741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,24.0,0.8247384587189432,44.61999528617703,2.796798456583629,1.0570991749920409,5.246381113719704,37.076078776929954,6.92446869094741,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,48.0,1.6432728001801693,36.90059161268049,1.3904746155077279,2.0289941924465307,14.741247632120446,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,72.0,2.3800615772621865,40.790358901838516,3.1812017100497503,3.3688573729660085,26.592190480201598,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,96.0,2.774492973882517,43.893960647902944,4.624709612605255,4.8405214374260135,38.53457186135388,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,120.0,2.7879250989060247,47.64956664632085,5.936199437705921,6.32672305639066,48.84552424743709,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,144.0,2.5318717039010825,52.67971166781786,7.18138010521707,7.812808738410287,56.80298585807314,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,168.0,2.1395962269327553,59.090665747977035,8.36271274108423,9.315383690918107,62.31760285355068,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,192.0,1.713371247420081,66.71874266306965,9.464077775375204,10.851184272672782,65.62989084026674,37.076078776929954,6.92446869094741,0.9499999999999998,0.05,15.292713454344797,3.716548864133932,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,216.0,1.3157727255110356,75.28507600271512,10.468966480751455,12.428206635969634,67.11997486729439,37.076078776929954,6.92446869094741,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,240.0,1.0182133214034101,72.27380531264568,8.546974020887294,14.155860419033123,70.82383781607979,37.076078776929954,6.712055487488615,0.85,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,264.0,0.7794234528906787,70.33691350891243,7.050940544665185,15.526265140594315,73.20621473467166,37.076078776929954,6.712055487488615,0.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,288.0,0.5877754408713414,68.89180080455255,5.830517852103338,16.654503154748074,74.98370336103433,37.076078776929954,6.712055487488615,0.7499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
2,312.0,0.43837369920652414,67.82236668430517,4.831617239729319,17.586519337280322,76.2991073289386,36.50298737529743,6.712055487488615,0.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,166.68185112280725,1.0,336.0
3,0.0,0.32582215801365155,59.50027539669757,4.540668119911496,0.1,0.1,36.61945309290956,7.058282545342942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,24.0,0.9734898551693867,54.4222079365404,3.1280965897211175,1.2186333809342629,6.346022975993299,36.61945309290956,7.058282545342942,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,48.0,1.9317442482182998,45.17565817593961,1.4743662135644315,2.3497750084185243,17.71927918153228,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,72.0,2.6784325519589762,59.39938694302388,4.649772773126778,4.056568947173371,31.122733401448546,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,96.0,2.924119007626525,73.09685835761992,7.303411339013286,6.019990569974427,43.54723992263952,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,120.0,2.7265615169896273,87.7285897660912,9.672176715319871,8.112279519720296,53.28195421130374,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,144.0,2.286652272885207,103.66941631378853,11.815463342580948,10.316832087429901,59.946916009189174,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,168.0,1.7790375039630129,120.74479986608253,13.735129443006418,12.63736384356896,63.83362645712844,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
3,192.0,1.3091363138686771,138.56876272810155,15.424760471107923,15.069069645748513,65.48961423740798,36.61945309290956,7.058282545342942,0.9499999999999998,0.05,26.843882528581542,5.489899551341767,0.0,0.0,0.0,168.39043898178525,1.0,336.0
